train_size,knn,alpha,kfold,accuracy,recall,f1,cohen_kappa,precision,pca_time,pred_time
18000,3,35,10,0.9661111111111111,0.9661111111111111,0.9661028673979206,0.9623116354072918,0.9662899452814323,4.095329999923706,1.1875388622283936
18000,3,35,10,0.9722222222222222,0.9722222222222222,0.9722901491516276,0.9691181905181179,0.9727273033906705,4.275899887084961,1.193575382232666
18000,3,35,10,0.9683333333333334,0.9683333333333334,0.9684232369956072,0.9647682741399132,0.9688276258931449,4.190682411193848,1.1879961490631104
18000,3,35,10,0.9661111111111111,0.9661111111111111,0.9661294063039196,0.9623123339580287,0.9662711079603449,4.2015907764434814,1.1910736560821533
18000,3,35,10,0.9683333333333334,0.9683333333333334,0.9683099131676866,0.9648001240572626,0.9684920371136635,4.177169322967529,1.185081958770752
18000,3,35,10,0.9683333333333334,0.9683333333333334,0.9682719004852831,0.9647864362569286,0.9684158539766612,4.159549236297607,1.1916308403015137
18000,3,35,10,0.9661111111111111,0.9661111111111111,0.9662453482875097,0.9623135498919861,0.9670263831056812,4.474845886230469,1.187812089920044
18000,3,35,10,0.9672222222222222,0.9672222222222222,0.9671913365302158,0.963552136061043,0.967468523102229,4.052208423614502,1.1936209201812744
18000,3,35,10,0.9683333333333334,0.9683333333333334,0.9683432731178575,0.9647471501369398,0.9685499550169104,4.131122827529907,1.1874823570251465
18000,3,35,10,0.9622222222222222,0.9622222222222222,0.9621534724848195,0.9579963287967767,0.9622736859239387,4.059219598770142,1.1904401779174805
