train_size,knn,alpha,kfold,accuracy,recall,f1,cohen_kappa,precision,pca_time,pred_time
12000,3,35,10,0.9583333333333334,0.9583333333333334,0.9582816138963165,0.9536634452464101,0.9586345144218568,4.052816390991211,0.5327854156494141
12000,3,35,10,0.9625,0.9625,0.9624946390547996,0.9582392750338146,0.9627890521510263,4.19972825050354,0.5548539161682129
12000,3,35,10,0.9683333333333334,0.9683333333333334,0.9684257078770654,0.9647940606962746,0.9690054620905626,4.371208190917969,0.5334556102752686
12000,3,35,10,0.9608333333333333,0.9608333333333333,0.9608767289328803,0.9564274528678693,0.9613479341017097,3.977595567703247,0.5357568264007568
12000,3,35,10,0.9583333333333334,0.9583333333333334,0.9585485624248058,0.9536467636170357,0.9592700599763826,4.31271505355835,0.5335209369659424
12000,3,35,10,0.9566666666666667,0.9566666666666667,0.9566990819310539,0.951789133085171,0.95707267080388,4.114439964294434,0.5348591804504395
12000,3,35,10,0.9558333333333333,0.9558333333333333,0.9557951174003396,0.9509047119125548,0.9565112504483453,4.363389730453491,0.5317542552947998
12000,3,35,10,0.97,0.97,0.969997569291855,0.9666526690215647,0.9702065664857346,4.249910831451416,0.5336458683013916
12000,3,35,10,0.9658333333333333,0.9658333333333333,0.9658365476592543,0.9619820341929876,0.9665575578414713,3.959394931793213,0.5314629077911377
12000,3,35,10,0.9566666666666667,0.9566666666666667,0.9566590731005122,0.9517908464414846,0.9579055729128991,4.39217209815979,0.5334534645080566
